source_id,gold_program,gold_ops,gold_has_100,strategy_formula,extra_ops,missing_ops,operation_mismatch,has_multiply_100,has_divide_100,has_percentage_conversion,scale_mismatch,contaminated,reason
E001,"divide(131, 5270)",divide,False,numerator / denominator,,,False,False,False,False,False,False,OK
E002,"divide(19.8, 135.2)",divide,False,percentage = (cash_paid / asset_value) * 100,"multiply, add",,True,True,False,True,True,True,"Extra ops: multiply, add; Spurious ×100 (gold has no const_100); Percentage conversion mention"
E003,"divide(10, 1%)",divide,False,total = effect_amount / percentage_change,,,False,False,False,True,True,True,Percentage conversion mention
E004,"divide(494788, 309051)",divide,False,current_ratio = current_assets / current_liabilities,,,False,False,False,False,False,False,OK
E005,"divide(185, 7536)",divide,False,(component_value / total_value) * 100,multiply,,True,True,False,True,True,True,Extra ops: multiply; Spurious ×100 (gold has no const_100); Percentage conversion mention
E006,"divide(176138, 1355605)",divide,False,percentage = (portion / total) * 100,multiply,,True,True,False,True,True,True,Extra ops: multiply; Spurious ×100 (gold has no const_100); Percentage conversion mention
E007,"subtract(118, 102), divide(#0, 102)","subtract, divide",False,((later_value - earlier_value) / earlier_value) * 100%,multiply,,True,True,False,True,True,True,Extra ops: multiply; Spurious ×100 (gold has no const_100); Percentage conversion mention
E009,"subtract(347, 328), divide(#0, 328)","subtract, divide",False,((current_value - previous_value) / previous_value) * 100,multiply,,True,True,False,True,True,True,Extra ops: multiply; Spurious ×100 (gold has no const_100); Percentage conversion mention
E011,"subtract(18447, 9889), divide(#0, 9889)","subtract, divide",False,((final_value - initial_value) / initial_value) * 100,multiply,,True,True,False,True,True,True,Extra ops: multiply; Spurious ×100 (gold has no const_100); Percentage conversion mention
E013,"subtract(91.8, 27.6)",subtract,False,decrease = earlier_value - later_value,,,False,False,False,False,False,False,OK
E016,"subtract(29669000, 29570000)",subtract,False,loss = amortized_cost - market_value,,,False,False,False,False,False,False,OK
E019,"add(572079, 599497)",add,False,total = cash_consideration + stock_fair_value,,,False,False,False,False,False,False,OK
E020,"add(26.4, 35.1)",add,False,total_impact = reduction1 + reduction2,,,False,False,False,False,False,False,OK
E021,"add(595, 629)",add,False,pre_impairment_value = remaining_value + impairment_charge,,,False,False,False,False,False,False,OK
E022,"add(1208860, 814114)",add,False,Total_NOI = NOI_type1 + NOI_type2,,,False,False,False,False,False,False,OK
E023,"add(3.9, 1.5)",add,False,total = cumulative_amount + additional_amount,,,False,False,False,False,False,False,OK
E024,"add(351, 813)",add,False,total_increase = prior_year_increase + current_year_increase,,,False,False,False,False,False,False,OK
E025,"add(27, 158), divide(27, #0)","add, divide",False,percentage = (charge_amount / (reported_income + charge_amount)) * 100,multiply,,True,True,False,True,True,True,Extra ops: multiply; Spurious ×100 (gold has no const_100); Percentage conversion mention
E026,"add(107.2, 179.1), divide(#0, const_2)","add, divide",False,(value_at_date1 + value_at_date2) / 2,,,False,False,False,False,False,False,OK
E027,"add(17, 4), divide(#0, const_2)","add, divide",False,average_annual_closures = sum(closure_counts) / number_of_years,,add,True,False,False,False,False,True,Missing ops: add
E028,"add(0.6, 4.1), divide(#0, 22.7)","add, divide",False,(cost1 + cost2) / current_assets * 100,multiply,,True,True,False,False,True,True,Extra ops: multiply; Spurious ×100 (gold has no const_100)
E029,"add(27, 2), divide(#0, 84)","add, divide",False,(sum of subcategory_counts) / total_count,,add,True,False,False,True,True,True,Missing ops: add; Percentage conversion mention
E030,"add(5, 10), divide(#0, const_2)","add, divide",False,(value1 + value2) / 2,,,False,False,False,False,False,False,OK
E031,"multiply(33035204, 100.24)",multiply,False,total_spent = shares_repurchased * average_price_per_share,,,False,False,False,False,False,False,OK
E032,"multiply(50.33, 4999)",multiply,False,total_value = per_unit_value * quantity,,,False,False,False,False,False,False,OK
E033,"multiply(100, const_2)",multiply,True,post_split_shares = pre_split_shares * split_ratio,,,False,False,False,False,False,False,OK
E034,"multiply(13394736, 11.38)",multiply,False,total_dollar_amount = shares * exercise_price,,,False,False,False,False,False,False,OK
E035,"multiply(525000000, 0.25)",multiply,False,total_par_value = number_of_shares * par_value_per_share,,,False,False,False,False,False,False,OK
E036,"multiply(168, 338)",multiply,False,fair_value = percentage * goodwill,divide,,True,True,True,True,True,True,Extra ops: divide; Spurious ×100 (gold has no const_100); Percentage conversion mention
E037,"add(34.7, 36.7), add(32.3, #0)","add, add",False,total_amortization = amortization_year1 + amortization_year2 + amortization_year3,,,False,False,False,False,False,False,OK
E038,"add(244, 249), add(#0, 309)","add, add",False,total = value1 + value2 + value3,,,False,False,False,False,False,False,OK
E039,"add(1762, -578), add(#0, -4363)","add, add",False,net_change_in_cash = operating_activities + investing_activities + financing_activities,,,False,False,False,False,False,False,OK
E040,"add(12.1, 27.4), add(15.8, 21.9)","add, add",False,(sum(prior_period_increases) / (sum(prior_period_increases) + sum(current_period_increases))) * 100,"divide, multiply",,True,True,True,False,True,True,"Extra ops: divide, multiply; Spurious ×100 (gold has no const_100)"
E041,"add(514000, 81000), add(#0, 69000)","add, add",False,"total_square_footage = sum(square_footage_1, square_footage_2, ..., square_footage_n)",,,False,False,False,False,False,False,OK
E042,"add(420, -79), add(#0, -114)","add, add",False,net_change = initial_value + adjustment_1 + adjustment_2,,,False,False,False,False,False,False,OK
